,XAU_Returns,DXY_Returns,SPX_Returns,US10Y_Diff,VIX_Diff,XAUUSD_Close,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,Target_Next_Day_Gold,Regime
2010-06-16,-0.002758062993544,0.0011856054950264,-0.0005560937250901,0.0439999100000001,0.0500000000000007,1231.05,1233.25,1237.85,1227.25,0.0116053586630541,0
2010-06-17,0.0116053586630541,-0.0045991546449684,0.0012821376691954,-0.0420000499999999,-0.870000000000001,1245.42,1229.4,1251.03,1229.4,0.0090164152142144,2
2010-06-18,0.0090164152142144,0.0001283644618914,0.0013162904007037,-0.0699999300000002,-1.1000000000000014,1256.7,1244.55,1262.55,1242.05,-0.0139425335502704,1
2010-06-22,-0.0139425335502704,0.0047379384926296,-0.02006556778678,0.0490000200000002,3.1000000000000014,1239.3,1232.25,1242.75,1232.25,-0.0023023336434822,0
2010-06-23,-0.0023023336434822,-0.0042479711473165,-0.0029899215361501,-0.0780000700000003,-0.1400000000000005,1236.45,1239.37,1246.35,1224.85,0.006208195380877,2
2010-06-24,0.006208195380877,-9.330860662025942e-05,-0.0169461928624245,-0.0409998899999997,2.8299999999999983,1244.15,1235.19,1248.65,1228.35,0.0082845209982536,1
2010-06-25,0.0082845209982536,-0.0049109694949476,0.0028552182897741,0.0189998199999998,-1.2099999999999973,1254.5,1243.04,1258.2,1241.35,-0.0113596135811857,1
2010-06-29,-0.0113596135811857,0.0083111055155788,-0.033544221504568,-0.1199998899999998,5.600000000000001,1240.33,1237.14,1245.0,1227.45,0.0013455102681328,1
2010-06-30,0.0013455102681328,-6.974959896814037e-05,-0.0101644254535431,-0.0699999300000002,0.4099900000000005,1242.0,1238.35,1247.8,1234.85,-0.0347348156185701,0
2010-07-01,-0.0347348156185701,-0.0152637162592211,-0.0032457464551476,-0.0180001299999998,-1.6799900000000036,1199.6,1241.49,1243.85,1196.85,0.0091279365827328,2
2010-07-02,0.0091279365827328,-0.0034172301689356,-0.0046732932195075,0.0190000600000002,-2.7399999999999984,1210.6,1198.4,1213.3,1198.4,-0.0070460771473783,1
2010-07-07,-0.0070460771473783,-0.0071917527903726,0.036194747187182,-0.01799989,-3.280000000000001,1202.1,1192.0,1203.8,1185.25,-0.0034165276348138,1
2010-07-08,-0.0034165276348138,2.3859799817356628e-05,0.009368673372673,0.0499999499999996,-1.1299899999999994,1198.0,1201.1,1207.85,1187.7,0.011535876299047,1
2010-07-09,0.011535876299047,0.0014662846622766,0.0071781000040602,0.04799986,-0.73001,1211.9,1196.84,1213.7,1194.65,-0.0006190545172008,1
2010-07-13,-0.0006190545172008,-0.0036279054052103,0.0159944513087329,0.0320000600000001,-0.4200000000000017,1211.15,1197.2,1217.9,1196.7,-0.0029354026245572,2
2010-07-14,-0.0029354026245572,-0.0025977305428296,-0.0001552149959061,0.0580000900000001,0.3300000000000018,1207.6,1211.15,1218.15,1202.9,0.0009518489348205,1
2010-07-15,0.0009518489348205,-0.0104589347464747,0.0011954464955711,-0.07400012,0.25,1208.75,1206.6,1217.3,1204.1,-0.0132413660197966,0
2010-07-16,-0.0132413660197966,-0.0008724946628473,-0.0292429320987497,-0.0529999700000001,1.1099999999999994,1192.85,1207.4,1210.8,1186.25,-0.0015353189221506,2
2010-07-20,-0.0015353189221506,0.0031591778527747,0.0173159663686241,-0.0360000099999999,-2.32001,1191.02,1182.75,1193.65,1175.61,-0.0051601395692376,1
2010-07-21,-0.0051601395692376,0.0077766131648717,-0.0129026856528137,-0.0069999699999998,1.7100100000000005,1184.89,1190.04,1197.95,1183.6,0.0087890862555475,1
2010-07-22,0.0087890862555475,-0.0096152269813209,0.0222636156850377,-0.0720000300000003,-1.0100000000000016,1195.35,1184.9,1201.15,1181.3,-0.0052843605605921,1
2010-07-23,-0.0052843605605921,-0.0015873115371494,0.0081864293683692,0.0499999500000001,-1.16,1189.05,1194.25,1204.05,1184.3,-0.0250364335166809,1
2010-07-27,-0.0250364335166809,-0.0033890308114657,0.0100880620930484,0.0640001300000001,-0.2799999999999976,1159.65,1182.2,1187.15,1158.3,0.0030136065514595,2
2010-07-28,0.0030136065514595,-7.30086880662772e-05,-0.0069460677389541,0.0529999699999996,1.0599999999999987,1163.15,1162.32,1166.1,1157.05,0.0035615476725644,0
2010-07-29,0.0035615476725644,-0.0066294538194984,-0.0041673144027251,-0.0590000099999996,-0.120000000000001,1167.3,1163.0,1169.55,1159.6,0.0117104836450992,0
2010-07-30,0.0117104836450992,-0.0011889077545677,6.354595509431585e-05,-0.0020000900000001,-0.629999999999999,1181.05,1167.25,1183.55,1166.05,0.0041402678492384,1
2010-08-03,0.0041402678492384,-0.0116324129068364,0.0169756468403842,-0.0249998599999998,-0.870000000000001,1185.95,1182.35,1190.55,1179.7,0.0067229968758647,0
2010-08-04,0.0067229968758647,0.0036659111697823,0.0060328518604199,-0.0540001400000003,-0.4199899999999985,1193.95,1184.7,1203.0,1184.7,0.000293101645561,1
2010-08-05,0.000293101645561,-0.0008286080478052,-0.0012693905523797,0.04400015,-0.1099999999999994,1194.3,1193.95,1200.25,1190.15,0.0091682589199166,0
