,XAU_Returns,DXY_Returns,SPX_Returns,US10Y_Diff,VIX_Diff,Target_Next_Day_Gold
2010-06-16,-0.002758062993544,0.0011856054950264,-0.0005560937250901,0.0439999100000001,0.0500000000000007,0.0116053586630541
2010-06-22,-0.0139425335502704,0.0047379384926296,-0.02006556778678,0.0490000200000002,3.1000000000000014,-0.0023023336434822
2010-06-30,0.0013455102681328,-6.974959896814037e-05,-0.0101644254535431,-0.0699999300000002,0.4099900000000005,-0.0347348156185701
2010-07-15,0.0009518489348205,-0.0104589347464747,0.0011954464955711,-0.07400012,0.25,-0.0132413660197966
2010-07-28,0.0030136065514595,-7.30086880662772e-05,-0.0069460677389541,0.0529999699999996,1.0599999999999987,0.0035615476725644
2010-07-29,0.0035615476725644,-0.0066294538194984,-0.0041673144027251,-0.0590000099999996,-0.120000000000001,0.0117104836450992
2010-08-03,0.0041402678492384,-0.0116324129068364,0.0169756468403842,-0.0249998599999998,-0.870000000000001,0.0067229968758647
2010-08-05,0.000293101645561,-0.0008286080478052,-0.0012693905523797,0.04400015,-0.1099999999999994,0.0091682589199166
2010-08-13,0.0,0.0037805858428043,-0.0040317042303712,0.0659999799999999,0.5100100000000012,0.0098697560930335
2010-08-17,0.0098697560930335,-0.0087423516831345,0.0122389051362199,-0.1800000700000001,-1.9100100000000035,0.003626366406564
2010-08-19,0.0023967675438734,0.0027205943786216,-0.0170804091580983,-0.0030000199999999,1.8500000000000008,-0.0037398417572831
2010-08-20,-0.0037398417572831,0.0073714564264061,-0.0036696947092675,-0.0629999599999999,-0.9499899999999996,0.0014813491122621
2010-08-25,0.0082858970701868,0.0013821536150222,0.0032839816909079,-0.1140000799999998,-0.7600100000000012,-0.0020993992126877
2010-08-26,-0.0020993992126877,-0.0039351415141896,-0.007714480246337,0.0510001099999999,0.6700000000000017,0.0004606302634711
2010-08-27,0.0004606302634711,-0.0001929431065,0.0164507145333913,-0.0580000799999997,-2.9200000000000017,0.0081270513378577
2010-09-01,-0.0031464235419655,-0.008206461541716,0.0290776583480764,-0.0599999399999999,-2.16,0.0048119428802571
2010-09-02,0.0048119428802571,-0.0007152165653248,0.0090399115421741,0.1099998900000001,-0.6999999999999993,-0.0028041519796923
2010-09-08,0.0063182519141451,0.0068893306029551,-0.0051194186367897,-0.0269999499999999,1.9400000000000013,-0.0078438052229822
2010-09-15,-0.0012230486995945,0.0050562631173845,0.0035349097654727,-0.0629999599999999,0.5400100000000023,0.0056293820544545
2010-09-16,0.0056293820544545,-0.0030725388574706,-0.0003644881870614,0.0399999599999998,-0.3800100000000022,0.0003139963916212
2010-09-17,0.0003139963916212,0.0019306568383632,0.0008265748720807,0.0409998900000001,0.2899899999999995,0.0084408473021
2010-09-22,0.004674248170065,-0.0075997595434137,-0.0048371729190874,-0.12800002,0.1599799999999973,0.0004104756541019
2010-09-23,0.0004104756541019,0.0022522532043252,-0.0083661752808279,-0.02099991,1.3600100000000026,0.0038024328801707
2010-09-24,0.0038024328801707,-0.0077162328839721,0.0209728382218438,-0.0020001,-2.1599900000000005,0.0086253448562827
2010-09-29,0.0006116208141733,-0.0040962613949365,-0.0025911383655897,-0.0639998899999998,0.649989999999999,-0.0005733835519566
2010-10-01,0.0084526851121042,-0.008060856871334,0.0044066800929473,0.0069999699999998,-1.1999999999999993,0.0157240675736281
2010-10-06,0.0070293176467664,-0.0046798035580846,-0.0006722052030153,-0.0050001100000001,-0.2699799999999968,-0.0120431723469012
2010-10-12,0.0011872520223666,0.0004913115531184,0.0039573141942571,0.0039999500000003,-1.7800200000000004,0.017299167262812
2010-10-22,0.002487375971535,0.0006972690578838,0.0023864542032575,0.0610001099999997,-0.4899999999999984,0.0084334913911145
2010-11-02,-0.0028808378031705,-0.0070655150155367,0.0086754750353409,-0.0339999199999998,0.3700100000000006,-0.0060984373082301
2010-11-17,-0.0026611466103324,-0.0015919747635541,0.000212140369835,-0.12199998,-0.8200099999999999,0.0128734640438219
2010-11-24,-0.0024367990352381,0.0023315877887867,0.0148127193500088,-0.02399993,-1.0700000000000005,0.0093150027838243
2010-12-01,0.0011537935845467,-0.0059540161563341,0.0213867081574661,-0.02900005,-2.17999,-0.0017528488274144
