,XAU_Returns,DXY_Returns,SPX_Returns,US10Y_Diff,VIX_Diff,XAUUSD_Close,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,Target_Next_Day_Gold
2010-06-16,-0.002758062993544064,0.0011856054950264107,-0.0005560937250901566,0.04399991000000014,0.05000000000000071,1231.05,1233.25,1237.85,1227.25,0.011605358663054188
2010-06-17,0.011605358663054188,-0.004599154644968433,0.0012821376691954428,-0.042000049999999955,-0.870000000000001,1245.42,1229.4,1251.03,1229.4,0.009016415214214405
2010-06-18,0.009016415214214405,0.0001283644618914851,0.0013162904007037828,-0.06999993000000027,-1.1000000000000014,1256.7,1244.55,1262.55,1242.05,-0.01394253355027043
2010-06-22,-0.01394253355027043,0.004737938492629676,-0.02006556778678009,0.049000020000000255,3.1000000000000014,1239.3,1232.25,1242.75,1232.25,-0.00230233364348223
2010-06-23,-0.00230233364348223,-0.004247971147316507,-0.0029899215361501785,-0.07800007000000031,-0.14000000000000057,1236.45,1239.37,1246.35,1224.85,0.00620819538087704
2010-06-24,0.00620819538087704,-9.330860662025942e-05,-0.016946192862424502,-0.040999889999999706,2.8299999999999983,1244.15,1235.19,1248.65,1228.35,0.008284520998253626
2010-06-25,0.008284520998253626,-0.004910969494947661,0.002855218289774183,0.01899981999999989,-1.2099999999999973,1254.5,1243.04,1258.2,1241.35,-0.011359613581185705
2010-06-29,-0.011359613581185705,0.008311105515578879,-0.033544221504568025,-0.11999988999999989,5.600000000000001,1240.33,1237.14,1245.0,1227.45,0.001345510268132812
2010-06-30,0.001345510268132812,-6.974959896814037e-05,-0.010164425453543183,-0.06999993000000027,0.4099900000000005,1242.0,1238.35,1247.8,1234.85,-0.03473481561857016
2010-07-01,-0.03473481561857016,-0.015263716259221129,-0.0032457464551476313,-0.018000129999999892,-1.6799900000000036,1199.6,1241.49,1243.85,1196.85,0.00912793658273282
2010-07-02,0.00912793658273282,-0.00341723016893568,-0.004673293219507561,0.019000060000000207,-2.7399999999999984,1210.6,1198.4,1213.3,1198.4,-0.007046077147378309
2010-07-07,-0.007046077147378309,-0.007191752790372683,0.036194747187182075,-0.01799989000000002,-3.280000000000001,1202.1,1192.0,1203.8,1185.25,-0.0034165276348138334
2010-07-08,-0.0034165276348138334,2.3859799817356628e-05,0.00936867337267307,0.04999994999999968,-1.1299899999999994,1198.0,1201.1,1207.85,1187.7,0.011535876299047029
2010-07-09,0.011535876299047029,0.001466284662276644,0.007178100004060206,0.047999860000000005,-0.73001,1211.9,1196.84,1213.7,1194.65,-0.0006190545172008942
2010-07-13,-0.0006190545172008942,-0.003627905405210308,0.015994451308732918,0.03200006000000011,-0.4200000000000017,1211.15,1197.2,1217.9,1196.7,-0.002935402624557219
